               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.018792,            0.010124,            0.013347,             0.54123,             0.72896,             0.64884,             0.54811,            0.019443,           0.0089436,            0.031539,            0.003664,            0.003664,            0.003664
                  66,             0.01872,           0.0098219,            0.012477,             0.61874,             0.67407,             0.70478,             0.59063,            0.019691,           0.0088573,            0.033272,            0.003565,            0.003565,            0.003565
                  67,            0.018612,            0.009625,            0.012043,             0.72442,             0.60169,             0.66892,             0.56914,            0.020546,            0.008759,            0.032776,            0.003466,            0.003466,            0.003466
                  68,            0.019265,            0.010088,            0.011407,              0.6498,             0.66163,             0.68833,             0.59045,              0.0202,           0.0089636,            0.030299,            0.003367,            0.003367,            0.003367
                  69,            0.018673,           0.0096273,            0.011583,             0.57598,             0.72895,             0.68886,             0.58779,            0.020115,           0.0090051,            0.030278,            0.003268,            0.003268,            0.003268
                  70,            0.018091,           0.0095127,            0.010838,              0.5621,              0.7425,             0.66573,             0.56226,            0.020172,           0.0091815,            0.032183,            0.003169,            0.003169,            0.003169
                  71,            0.017179,           0.0096793,            0.010278,             0.57167,             0.76184,             0.65247,             0.55363,            0.019871,           0.0090714,            0.031802,             0.00307,             0.00307,             0.00307
                  72,            0.017398,             0.01004,           0.0099676,             0.64219,             0.68774,               0.699,             0.60789,            0.020015,           0.0089364,            0.030668,            0.002971,            0.002971,            0.002971
                  73,            0.017517,           0.0099511,            0.010752,             0.70576,             0.64483,             0.71502,              0.6189,            0.019784,            0.009047,            0.030465,            0.002872,            0.002872,            0.002872
                  74,            0.016798,           0.0091307,            0.010379,             0.64103,             0.69904,             0.74741,             0.62898,            0.020318,           0.0091968,            0.032521,            0.002773,            0.002773,            0.002773
                  75,            0.017226,           0.0092141,            0.010803,             0.67996,             0.65366,             0.68939,              0.5772,            0.020195,           0.0092435,            0.033147,            0.002674,            0.002674,            0.002674
                  76,            0.016946,           0.0098455,           0.0093497,             0.67911,              0.6052,             0.66824,             0.57625,            0.019253,           0.0092502,            0.035304,            0.002575,            0.002575,            0.002575
                  77,            0.016518,           0.0095081,           0.0097011,             0.71804,             0.63077,             0.70954,             0.62134,            0.019454,           0.0090246,            0.033483,            0.002476,            0.002476,            0.002476
                  78,            0.016564,           0.0092852,           0.0092604,             0.69554,             0.62812,             0.69318,             0.60407,            0.019883,           0.0093164,            0.032642,            0.002377,            0.002377,            0.002377
                  79,            0.015512,           0.0091932,           0.0089931,             0.72866,             0.59214,             0.70838,             0.61535,            0.018853,           0.0094624,            0.032259,            0.002278,            0.002278,            0.002278
                  80,            0.015554,           0.0091301,            0.008577,             0.68523,             0.65933,             0.71881,             0.62166,            0.019131,            0.009243,            0.032304,            0.002179,            0.002179,            0.002179
                  81,            0.016168,           0.0097006,           0.0092559,             0.71561,             0.66108,              0.7257,             0.62884,             0.01849,           0.0091496,            0.032044,             0.00208,             0.00208,             0.00208
                  82,            0.015699,           0.0092067,           0.0084174,             0.71488,             0.66631,             0.69214,             0.60851,            0.019153,           0.0092006,            0.030742,            0.001981,            0.001981,            0.001981
                  83,            0.015201,           0.0090501,           0.0080683,             0.70495,             0.67823,             0.69121,             0.58996,            0.018981,           0.0091081,            0.030395,            0.001882,            0.001882,            0.001882
                  84,            0.014981,            0.008778,           0.0083109,             0.71699,             0.67019,             0.73316,             0.64021,            0.018904,           0.0094228,            0.030227,            0.001783,            0.001783,            0.001783
                  85,            0.014451,           0.0089766,           0.0077131,             0.70896,             0.64505,             0.69933,             0.61178,            0.018557,            0.009181,            0.030118,            0.001684,            0.001684,            0.001684
                  86,            0.014466,           0.0090784,           0.0080099,             0.71076,             0.65736,             0.70734,             0.61751,            0.018509,           0.0092764,            0.031556,            0.001585,            0.001585,            0.001585
                  87,            0.014017,           0.0086432,           0.0082141,             0.69028,             0.67116,             0.71261,             0.62689,            0.018357,           0.0095448,            0.031968,            0.001486,            0.001486,            0.001486
                  88,            0.013796,           0.0086831,           0.0083329,             0.67437,             0.67386,             0.72878,             0.63634,            0.018224,           0.0098653,            0.031992,            0.001387,            0.001387,            0.001387
                  89,            0.014051,           0.0084851,           0.0079653,             0.75717,             0.60849,              0.7414,             0.64657,            0.018908,           0.0095382,            0.032489,            0.001288,            0.001288,            0.001288
                  90,            0.013932,           0.0088855,           0.0083552,             0.68281,             0.67058,             0.74128,             0.65209,            0.018647,           0.0093808,            0.032376,            0.001189,            0.001189,            0.001189
                  91,            0.013927,           0.0087882,           0.0083422,             0.70758,             0.67328,             0.73919,             0.65005,            0.018142,           0.0093675,            0.032495,             0.00109,             0.00109,             0.00109
                  92,            0.013639,           0.0083353,           0.0069496,             0.70589,             0.66573,              0.7615,             0.64795,            0.018071,           0.0092931,            0.031426,            0.000991,            0.000991,            0.000991
                  93,            0.013338,           0.0081417,           0.0073642,             0.69188,             0.65951,             0.73686,             0.65087,            0.018254,           0.0092816,            0.031511,            0.000892,            0.000892,            0.000892
                  94,            0.012853,           0.0082203,           0.0066527,              0.7021,             0.66045,             0.73724,             0.64872,            0.018127,           0.0092549,            0.031392,            0.000793,            0.000793,            0.000793
                  95,            0.012895,           0.0084454,           0.0065159,              0.6946,             0.64701,              0.7177,             0.63311,            0.018049,           0.0092549,            0.031697,            0.000694,            0.000694,            0.000694
                  96,            0.012081,           0.0081667,           0.0068479,             0.71441,             0.64446,             0.71682,             0.63402,            0.018065,           0.0092425,            0.031576,            0.000595,            0.000595,            0.000595
                  97,            0.012174,           0.0079444,           0.0067945,             0.72445,              0.6537,             0.73089,             0.65209,            0.017993,           0.0091467,            0.030381,            0.000496,            0.000496,            0.000496
                  98,            0.012076,           0.0077581,           0.0064657,             0.72809,              0.6498,             0.73427,             0.65688,              0.0179,           0.0091619,            0.030578,            0.000397,            0.000397,            0.000397
                  99,            0.012012,           0.0083935,           0.0070064,             0.72412,             0.64303,             0.74252,             0.65941,            0.017758,           0.0091982,            0.030949,            0.000298,            0.000298,            0.000298
